exposure_mode,species,model,parameter,perturbation,endpoint,baseline,perturbed,abs_change,pct_change,elasticity,censored
absolute,Mtb,two-compartment mechanistic,EC50,+10%,MDK99_h,25.354753407436114,25.847688861336792,0.49293545390067806,1.9441540052845023,0.19441540052845008,False
absolute,Mtb,two-compartment mechanistic,EC50,-10%,log10_drop_240h,3.7817064867196795,3.799109638750982,0.017403152031302493,0.46019309252099844,-0.04601930925209985,False
absolute,Mtb,two-compartment mechanistic,EC50,-10%,time_to_LOD_h,280.4723269334657,276.806458305728,-3.665868627737723,-1.3070339836440794,0.13070339836440797,False
absolute,Mtb,two-compartment mechanistic,EC50,-10%,MDK99_h,25.354753407436114,24.880029759104854,-0.4747236483312598,-1.8723260317413755,0.18723260317413762,False
absolute,Mtb,two-compartment mechanistic,H,+10%,log10_drop_240h,3.7817064867196795,3.78858550335322,0.006879016633540402,0.18190244688998553,0.018190244688998537,False
absolute,Mtb,two-compartment mechanistic,H,+10%,time_to_LOD_h,280.4723269334657,279.0674811025863,-1.404845830879367,-0.5008857188298038,-0.05008857188298033,False
absolute,Mtb,two-compartment mechanistic,H,+10%,MDK99_h,25.354753407436114,24.749490651933744,-0.6052627555023697,-2.387176659840267,-0.2387176659840265,False
absolute,Mtb,two-compartment mechanistic,H,-10%,log10_drop_240h,3.7817064867196795,3.7741623135016424,-0.00754417321803702,-0.19949124144166389,0.019949124144166393,False
absolute,Mtb,two-compartment mechanistic,H,-10%,time_to_LOD_h,280.4723269334657,282.0116457081928,1.5393187747271213,0.5488308923583332,-0.05488308923583333,False
absolute,Mtb,two-compartment mechanistic,H,-10%,MDK99_h,25.354753407436114,26.094840631109395,0.7400872236732816,2.918928895818907,-0.29189288958189075,False
absolute,Mtb,two-compartment mechanistic,k_SP,+10%,log10_drop_240h,3.7817064867196795,3.7403051949376116,-0.04140129178206786,-1.0947780301685996,-0.10947780301685986,False
absolute,Mtb,two-compartment mechanistic,k_SP,+10%,time_to_LOD_h,280.4723269334657,288.15043576087277,7.678108827407073,2.7375637772736456,0.27375637772736433,False
absolute,Mtb,two-compartment mechanistic,k_SP,+10%,MDK99_h,25.354753407436114,25.51122493762704,0.1564715301909274,0.617128976474435,0.06171289764744344,False
absolute,Mtb,two-compartment mechanistic,k_SP,-10%,log10_drop_240h,3.7817064867196795,3.8274726029349178,0.045766116215238295,1.2101974697390292,-0.12101974697390294,False
absolute,Mtb,two-compartment mechanistic,k_SP,-10%,time_to_LOD_h,280.4723269334657,271.9856940048573,-8.486632928608401,-3.0258361034747003,0.3025836103474701,False
absolute,Mtb,two-compartment mechanistic,k_SP,-10%,MDK99_h,25.354753407436114,25.201030534115,-0.15372287332111512,-0.6062881813554962,0.060628818135549635,False
absolute,Mtb,two-compartment mechanistic,k_PS,+10%,log10_drop_240h,3.7817064867196795,3.8917766099573585,0.11007012323767906,2.910594030081797,0.29105940300817945,False
