unit_group,time_days,plated_volume_uL,limit_log10,observed_blank,observed_y_log10,predicted_p_blank,mu_median,mu_q05,mu_q95,fold
era4tb_A_INH1x_r3,7.0,100.0,1.0,1,,0.41719727166799425,0.9476262048794095,0.6277353636848764,1.356352893433466,in-sample
era4tb_A_INH1x_r3,7.0,10.0,2.0,1,,0.8470090825564166,0.9476262048794095,0.6277353636848764,1.356352893433466,in-sample
era4tb_A_INH1x_r3,7.0,10.0,2.0,1,,0.8470090825564166,0.9476262048794095,0.6277353636848764,1.356352893433466,in-sample
era4tb_A_INH1x_r3,7.0,2.5,2.6020599913279625,1,,0.9522078113368669,0.9476262048794095,0.6277353636848764,1.356352893433466,in-sample
era4tb_A_INH1x_r3,10.0,100.0,1.0,0,1.95424250943932,0.109025454665376,1.7160162153291278,1.4401802076141652,2.1815471954426617,in-sample
era4tb_A_INH1x_r3,10.0,10.0,2.0,1,,0.5361203402638814,1.7160162153291278,1.4401802076141652,2.1815471954426617,in-sample
era4tb_A_INH1x_r3,10.0,10.0,2.0,1,,0.5361203402638814,1.7160162153291278,1.4401802076141652,2.1815471954426617,in-sample
era4tb_A_INH1x_r3,10.0,2.5,2.6020599913279625,1,,0.7977518083243132,1.7160162153291278,1.4401802076141652,2.1815471954426617,in-sample
era4tb_A_INH1x_r3,14.0,10.0,2.0,0,3.53147891704225,0.10427893299711592,2.689351618954962,2.4730038559434444,3.339810900004984,in-sample
era4tb_A_INH1x_r3,14.0,10.0,2.0,0,3.14612803567824,0.10427893299711592,2.689351618954962,2.4730038559434444,3.339810900004984,in-sample
era4tb_A_INH1x_r3,14.0,2.5,2.6020599913279625,0,3.07918124604762,0.32323093486038684,2.689351618954962,2.4730038559434444,3.339810900004984,in-sample
era4tb_A_INH1x_r3,21.0,100.0,1.0,0,4.8750612633917,0.02047860406821629,4.4853629142903095,4.117238832785101,4.918319782481078,in-sample
era4tb_A_INH1x_r3,21.0,10.0,2.0,0,4.41497334797082,0.02051908026793516,4.4853629142903095,4.117238832785101,4.918319782481078,in-sample
era4tb_A_INH1x_r3,21.0,10.0,2.0,0,4.20411998265593,0.02051908026793516,4.4853629142903095,4.117238832785101,4.918319782481078,in-sample
era4tb_A_INH1x_r3,21.0,2.5,2.6020599913279625,0,4.44715803134222,0.021678301677553427,4.4853629142903095,4.117238832785101,4.918319782481078,in-sample
era4tb_A_MXF10x_r2,1.0,100.0,1.0,0,2.41497334797082,0.023253850853618196,2.619733879410187,2.3781006414810775,2.881344395286195,in-sample
era4tb_A_MXF10x_r2,1.0,10.0,2.0,0,2.77815125038364,0.1368800981569307,2.619733879410187,2.3781006414810775,2.881344395286195,in-sample
era4tb_A_MXF10x_r2,1.0,10.0,2.0,0,2.77815125038364,0.1368800981569307,2.619733879410187,2.3781006414810775,2.881344395286195,in-sample
era4tb_A_MXF10x_r2,1.0,2.5,2.6020599913279625,1,,0.39621324269209707,2.619733879410187,2.3781006414810775,2.881344395286195,in-sample
era4tb_A_MXF10x_r2,2.0,100.0,1.0,0,2.17609125905568,0.03541997659202969,2.2517499700059798,2.001508174074826,2.4403009916629754,in-sample
era4tb_A_MXF10x_r2,2.0,10.0,2.0,0,2.0,0.2820034510087999,2.2517499700059798,2.001508174074826,2.4403009916629754,in-sample
era4tb_A_MXF10x_r2,2.0,10.0,2.0,0,2.0,0.2820034510087999,2.2517499700059798,2.001508174074826,2.4403009916629754,in-sample
era4tb_A_MXF10x_r2,2.0,2.5,2.6020599913279625,0,3.07918124604762,0.5959577715897267,2.2517499700059798,2.001508174074826,2.4403009916629754,in-sample
era4tb_A_MXF10x_r2,3.0,100.0,1.0,0,1.90308998699194,0.045905555305966614,2.11378719925222,1.8719184033466159,2.293219467296489,in-sample
era4tb_A_MXF10x_r2,3.0,10.0,2.0,1,,0.3513889483491695,2.11378719925222,1.8719184033466159,2.293219467296489,in-sample
era4tb_A_MXF10x_r2,3.0,10.0,2.0,1,,0.3513889483491695,2.11378719925222,1.8719184033466159,2.293219467296489,in-sample
era4tb_A_MXF10x_r2,3.0,2.5,2.6020599913279625,0,2.60205999132796,0.665816850128576,2.11378719925222,1.8719184033466159,2.293219467296489,in-sample
era4tb_A_MXF10x_r2,7.0,100.0,1.0,0,1.60205999132796,0.16600122775225212,1.566320370622842,1.2031955923153685,1.8052113656447817,in-sample
era4tb_A_MXF10x_r2,7.0,10.0,2.0,1,,0.6463789737751919,1.566320370622842,1.2031955923153685,1.8052113656447817,in-sample
era4tb_A_MXF10x_r2,7.0,10.0,2.0,1,,0.6463789737751919,1.566320370622842,1.2031955923153685,1.8052113656447817,in-sample
era4tb_A_MXF10x_r2,7.0,2.5,2.6020599913279625,1,,0.8660040192012184,1.566320370622842,1.2031955923153685,1.8052113656447817,in-sample
era4tb_A_MXF10x_r2,10.0,100.0,1.0,0,1.30102999566398,0.14925068684286769,1.5580068170505024,1.3442149246187245,1.7939546868448908,in-sample
era4tb_A_MXF10x_r2,10.0,10.0,2.0,1,,0.6305754494474702,1.5580068170505024,1.3442149246187245,1.7939546868448908,in-sample
era4tb_A_MXF10x_r2,10.0,10.0,2.0,1,,0.6305754494474702,1.5580068170505024,1.3442149246187245,1.7939546868448908,in-sample
